team,number,penalty,fastest,total,start,1,2,3,4,5,6,7,8
labels,graph,,,,,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8
labels,table,,,,,1,2,3,4,5,6,7,8
Kentucky,3,,,,0,,,,,,,,
MIT,4,,,,0,,,,,,,,
Florida,5,,,,0,,,,,,,,
Berkeley,6,,,,0,,,,,,,,
Illinois State,17,,,,0,,,,,,,,
Illinois,22,,,,0,,,,,,,,
British Columbia,26,,,,0,,,,,,,,
Principia,32,,,,0,,,,,,,,
Georgia Tech,49,,,,0,,,,,,,,
Virginia,87,,,,0,,,,,,,,
ETS,101,,,,0,,,,,,,,
Kansas,785,,,,0,,,,,,,,
Western Michigan,786,,,,0,,,,,,,,
modified,7 July 2022 – 6:35pm US Central,,,,,,,,,,,,
