team,number,penalty,fastest,total,start,1,2,3,4,5,6,7,8
labels,graph,,,,,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8
labels,table,,,,,1,2,3,4,5,6,7,8
Iowa State,9,7,3:32,38,0,0,0,0,6,6,8,8,10
Minnesota,35,0,4:04,98,0,13,13,10,11,13,12,12,14
Poly Montreal,55,1,4:18,89,0,12,13,12,11,14,9,11,7
Calgary,65,9,4:01,81,0,10,12,11,3,13,12,10,10
NC State,99,0,3:12,11,0,0,0,0,0,0,0,0,11
App State,828,0,3:45,28,0,14,3,1,0,3,0,2,5
modified,7 July 2022 – 6:35pm US Central,,,,,,,,,,,,
