team,number,penalty,fastest,total,start,1,2,3,4,5,6,7,8
labels,graph,,,,,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8
labels,table,,,,,1,2,3,4,5,6,7,8
Kentucky,3,3,3:08,270,0,,,,,,,,
MIT,4,1,3:15,290,0,,,,,,,,
Florida,5,24,3:56,51,0,,,,,,,,
Berkeley,6,3,4:07,262,0,,,,,,,,
Illinois State,17,4,3:18,37,0,,,,,,,,
Illinois,22,6,3:56,258,0,,,,,,,,
British Columbia,26,8,4:43,52,0,,,,,,,,
Principia,32,4,3:20,299,0,,,,,,,,
Georgia Tech,49,3,4:20,191,0,,,,,,,,
Virginia,87,4,4:53,16,0,,,,,,,,
ETS,101,3,3:40,95,0,,,,,,,,
Kansas,785,0,11:33,1,0,,,,,,,,
Western Michigan,786,6,4:02,79,0,,,,,,,,
modified,7 July 2022 – 6:35pm US Central,,,,,,,,,,,,
