team,number,penalty,fastest,total,start,1,2,3,4,5,6,7,8
labels,graph,,,,,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8
labels,table,,,,,1,2,3,4,5,6,7,8
Iowa State,9,1,3:47,90,38,10,12,11,12,13,12,7,13
Minnesota,35,0,3:50,102,98,13,13,10,14,12,13,13,14
Poly Montreal,55,1,4:16,87,89,7,12,12,12,12,15,8,9
Calgary,65,3,3:51,81,81,10,13,13,13,8,2,7,15
NC State,99,0,3:51,27,11,3,8,11,2,0,0,0,3
App State,828,0,3:48,80,28,13,13,13,9,4,13,11,4
modified,7 July 2022 – 6:35pm US Central,,,,,,,,,,,,
